SMILES,type,temp,pCMC,AW_ST_CMC,Gamma_max,Area_min,Pi_CMC,pC20,fold
CCCCCCCCCc1ccc(OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-])cc1.[Na+],anionic,25,4.920818754,36.9,0.00000097,1.708,35.07,6.28,1
CCCCCCCCCc1ccc(OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-])cc1.[Na+],anionic,25,4.795880017,33.7,0.00000117,1.414,38.27,6.17,1
CCCCCCCCCc1ccc(OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-])cc1.[Na+],anionic,25,4.522878745,34.1,0.00000129,1.288,37.87,5.73,1
CCCC(OS(=O)(=O)[O-])c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1.[Na+],anionic,27,4.09691001300806,20,0.0000018,0.94,,,1
CCCC(OS(=O)(=O)[O-])c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1.[Na+],anionic,27,3.04575749056068,18,0.0000021,0.8,,,1
CCCC(OS(=O)(=O)[O-])c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1.[Na+],anionic,27,2.15490195998574,19,0.0000025,0.66,,,1
CCCCCC(OS(=O)(=O)[O-])c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1.[Na+],anionic,27,3.46852108295774,20,0.0000016,1.04,,,1
CCCCCC(OS(=O)(=O)[O-])c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1.[Na+],anionic,27,2.52287874528034,19,0.0000017,0.99,,,2
CCCCCC(OS(=O)(=O)[O-])c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1.[Na+],anionic,27,,,0.0000016,1.04,,,9
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25,2.091514981,39.5,0.00000195,0.52,32,2.5,9
CCCCCCCCCCCCC(C(=O)OCC)S(=O)(=O)[O-].[Na+],anionic,25,2.64781748188864,,,,,,0
CCCCCCCCCCCCC(C(=O)OCCCC)S(=O)(=O)[O-].[Na+],anionic,25,3.04575749056068,,,,,,0
CCCCCCCCCCCCC(C(=O)OCCCCC)S(=O)(=O)[O-].[Na+],anionic,25,3.1249387366083,,,,,,0
CCCCCCCCCCCCCCC(C(=O)OC)S(=O)(=O)[O-].[Na+],anionic,23,3.13667714,,,,,,0
CCCCCCCCCCCCCCCCC(C(=O)OC)S(=O)(=O)[O-].[Na+],anionic,33,3.74472749489669,,,,,,0
CCCCCCCCC(CCCCCC)COCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25,4.065501549,,,,,,0
CCCCCCCCCCCCCCCC(=O)NC(CC(C)C)C(=O)[O-].[Na+],anionic,25,2.823908741,,,,,,0
CCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25,3.602059991,,,,,,0
CCCCCCCCCCCOCCOCCS(=O)(=O)[O-].[Na+],anionic,25,2.537602002,,,,,,0
CCCCCCCCCCCOCCS(=O)(=O)[O-].[Na+],anionic,25,2.408935393,,,,,,0
CCCCCCCCCOCCS(=O)(=O)[O-].[Na+],anionic,25,2.798602876,,,,,,0
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],anionic,25,2.30980392,,,,,,0
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[K+],anionic,25,1.537602002,,,,,,0
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],anionic,25,1.522878745,,,,,,0
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(=O)[O-].[Na+],anionic,25,3.542118103,38.2,,,33.77,,0
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(=O)[O-].[Na+],anionic,25,3.991399828,38.1,,,33.87,,0
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(=O)[O-].[Na+],anionic,25,4.443697499,38.2,,,33.77,,0
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-].[Na+],anionic,25,4.886056648,38.3,,,33.67,,1
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-].[Na+],anionic,25,4.27572413,38.1,,,33.87,,1
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOCC(=O)[O-].[Na+],anionic,25,3.403402904,39.9,,,32.07,,1
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCCOCCOS(=O)(=O)[O-].[Na+],anionic,25,3.769551079,40.4,,,31.57,,1
CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-].[Na+],anionic,25,3.829738285,38.7,,,33.27,,1
CCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25,4.397940009,,,,,,1
CCCCCCCCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25,4.301029996,,,,,,1
CCCCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25,4.15490196,,,,,,1
CCCCCCCCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],anionic,25,3.958607315,,,,,,1
CCCCCCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25,4,,,,,,1
CCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25,3.853871964,,,,,,1
CCCCCCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],anionic,25,3.657577319,,,,,,1
CCCCCCCCCCCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25,2.721246399,,,,,,1
CCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25,2.552841969,,,,,,1
CCCCCCCC(OS(=O)(=O)[O-])c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1.[Na+],anionic,27,2.88605664769316,20,,,,,2
CCCCCCCCCCCCOC(=O)[C@@H](C)NC(=O)c1ccccc1S(=O)(=O)[O-].[Na+],anionic,25,3.38721614328026,33,,,,,2
CCCCCCCCCCCCCCOC(=O)CCS(=O)(=O)[O-].[Na+],anionic,25,3.046,,,,,,2
CCCCCCCCCCCCOC(=O)CCS(=O)(=O)[O-].[Na+],anionic,25,2.523,,,,,,2
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+],anionic,25,2.602059991,,,,,,2
CCCCCCCCCCCCOS(=O)(=O)[O-].[Li+],anionic,25,2.050609993,,,,,,2
CCCCCCCCCCCCS(=O)(=O)[O-].[NH4+],anionic,25,2.050609993,,,,,,2
CCCCCCCCOC(=O)CC(C(=O)OCCCCCCCC)S(=O)(=O)[O-].[Na+],anionic,25,3.040958608,,,,,,2
CCCCCCOC(=O)CC(C(=O)OCCCCCC)S(=O)(=O)[O-].[Na+],anionic,25,2.853871964,,,,,,2
CCCCCOC(=O)CC(C(=O)OCCCCC)S(=O)(=O)[O-].[Na+],anionic,25,1.27572413,,,,,,2
CCCCOC(=O)CC(C(=O)OCCCC)S(=O)(=O)[O-].[Na+],anionic,25,0.698970004,,,,,,2
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],anionic,25,2.30980392,,,,,,2
O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Li+],anionic,25,1.48148606,,,,,,2
CCCC(CC(F)C(F)(F)F)OS(=O)(=O)[O-].[Na+],anionic,25,1.602059991,19,0.00000256,0.66,53,2.731026457,3
CCCCC(CC)CC(=O)OCC(COC(=O)CC(CC)CCCC)S(=O)(=O)[O-].[Na+],anionic,25,0.662940274,,,,,,3
CCCCCC(=O)OCC(COC(=O)CCCCC)S(=O)(=O)[O-].[Na+],anionic,25,1.817015033,,,,,,3
CCCCCC(CCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,2.047013935,,,,,,3
CCCCCC(CCCCC)OS(=O)(=O)[O-].[Na+],anionic,25,1.080974235,,0.00000067,2.48,,,3
CCCCCC(CCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,2.250031916,,,,,,3
CCCCCCC(C)OS(=O)(=O)[O-].[Na+],anionic,25,0.744968837,,0.000000847,1.96,,,3
CCCCCCC(CC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,1.966978555,,,,,,3
CCCCCCC(CCCCC)S(=O)(=O)[O-].[Na+],anionic,25,1.442011852,,,,,,3
CCCCCCC(CCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,2.585026652,,,,,,3
CCCCCCC(CCCCCC)OS(=O)(=O)[O-].[Na+],anionic,25,1.713992878,,0.000000439,3.78,,,3
CCCCCCCC(CC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,2.199970641,,,,,,3
CCCCCCCC(CCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,2.400007822,,,,,,3
CCCCCCCC(CCCC)S(=O)(=O)[O-].[Na+],anionic,25,1.548060131,,,,,,4
CCCCCCCC(CCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,2.299988938,,,,,,4
CCCCCCCC(CCCCCC)OS(=O)(=O)[O-].[Na+],anionic,25,2.01300446,,0.000000555,2.99,,,4
CCCCCCCC(CCCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,2.599980365,,,,,,4
CCCCCCCC(CCCCCCC)COS(=O)(=O)[O-].[Na+],anionic,25,2.552997102,,,,,,4
CCCCCCCC(CCCCCCC)OS(=O)(=O)[O-].[Na+],anionic,25,2.763966853,,,,,,4
CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC)S(=O)(=O)[O-].[Na+],anionic,25,3.131003098,,,,,,4
CCCCCCCCC(=O)[O-].[K+],anionic,25,0.408935393,,,,,,4
CCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],anionic,25,1.327994555,,,,,,4
CCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,2.303032359,,,,,,4
CCCCCCCCC(CC)OS(=O)(=O)[O-].[Na+],anionic,25,1.538951908,,0.00000067,2.48,,,4
CCCCCCCCC(CC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,2.500038134,,,,,,4
CCCCCCCCC(CCC)S(=O)(=O)[O-].[Na+],anionic,25,1.635073966,,,,,,4
CCCCCCCCC(CCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,2.721017883,,,,,,4
CCCCCCCCC(CCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,2.569924944,,,,,,4
CCCCCCCCC(CCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,2.7000571,,,,,,4
CCCCCCCCC(CCCCCC)COS(=O)(=O)[O-].[Na+],anionic,25,2.395990068,,,,,,4
CCCCCCCCC(CCCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,2.799970733,,,,,,4
CCCCCCCCC(CCCCCCC)OS(=O)(=O)[O-].[Na+],anionic,25,3.309981219,,,,,,4
CCCCCCCCC(CCCCCCCC)OS(=O)(=O)[O-].[Na+],anionic,25,3.585026652,,,,,,4
CCCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,2.721017883,,,,,,4
CCCCCCCCCC(CC)S(=O)(=O)[O-].[Na+],anionic,25,1.730020323,,,,,,5
CCCCCCCCCC(CC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,2.606073993,,,,,,5
CCCCCCCCCC(CCCC)OS(=O)(=O)[O-].[Na+],anionic,25,2.171018046,,,,,,5
CCCCCCCCCC(CCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,2.779891912,,,,,,5
CCCCCCCCCC(CCCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,2.89997427,,,,,,5
CCCCCCCCCC(CCCCCCCCC)OS(=O)(=O)[O-].[Na+],anionic,25,3.480959961,,0.000000434,3.83,,,5
CCCCCCCCCC(CCS(=O)(=O)[O-])OC(C)C.[Na+],anionic,25,2.458046526,,,,,,5
CCCCCCCCCC(CCS(=O)(=O)[O-])OCC(CC)CCCC.[Na+],anionic,25,3.501000636,,,,,,5
CCCCCCCCCC(CCS(=O)(=O)[O-])OCC.[Na+],anionic,25,2.301029996,,,,,,5
CCCCCCCCCC(CCS(=O)(=O)[O-])OCCC.[Na+],anionic,25,2.419987887,,,,,,5
CCCCCCCCCC(CCS(=O)(=O)[O-])OCCCC.[Na+],anionic,25,2.817015033,,,,,,5
CCCCCCCCCC(CCS(=O)(=O)[O-])OCCCCCC.[Na+],anionic,25,3.185020316,,,,,,5
CCCCCCCCCC(CCS(=O)(=O)[O-])OCCCCCCCC.[Na+],anionic,25,3.92190585,,,,,,5
CCCCCCCCCC(CCS(=O)(=O)[O-])Oc1ccccc1.[Na+],anionic,25,2.707965564,,,,,,5
CCCCCCCCCC(O)CCS(=O)(=O)[O-].[Na+],anionic,25,1.606073993,,,,,,5
CCCCCCCCCC(OCC)S(=O)(=O)[O-].[Na+],anionic,25,1.787013815,,,,,,5
CCCCCCCCCCC(=O)[O-].[K+],anionic,25,1.008773924,,,,,,5
CCCCCCCCCCC(C)S(=O)(=O)[O-].[Na+],anionic,25,1.827105302,,,,,,5
CCCCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,2.692076296,,,,,,5
CCCCCCCCCCC(CCC)OS(=O)(=O)[O-].[Na+],anionic,25,2.288024146,,0.000000414,4.01,,,5
CCCCCCCCCCC(CCCC)COS(=O)(=O)[O-].[Na+],anionic,25,2.638083381,,,,,,5
CCCCCCCCCCC(CCCC)OS(=O)(=O)[O-].[Na+],anionic,25,2.176982477,,,,,,6
CCCCCCCCCCC(CCCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,3.040005162,,,,,,6
CCCCCCCCCCC(CCCCC)OS(=O)(=O)[O-].[Na+],anionic,25,2.37202001,,0.0000005,3.32,,,6
CCCCCCCCCCC(CCS(=O)(=O)[O-])OC(C)=O.[Na+],anionic,25,2.583026827,,,,,,6
CCCCCCCCCCC=CS(=O)(=O)[O-].[Na+],anionic,25,1.886056648,,,,,,6
CCCCCCCCCCCC(=O)N[C@H]1C(OC)O[C@H](COS(=O)(=O)[O-])[C@@H](O)[C@@H]1O.[Na+],anionic,25,2.770062314,,,,,,6
CCCCCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],anionic,25,2.817015033,,,,,,6
CCCCCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,3.208028799,,,,,,6
CCCCCCCCCCCC(CC)OS(=O)(=O)[O-].[Na+],anionic,25,2.367036832,,,,,,6
CCCCCCCCCCCC(CC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,3,,,,,,6
CCCCCCCCCCCC(CCC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,3.150028088,,,,,,6
CCCCCCCCCCCC(CCS(=O)(=O)[O-])N(C)C.[Na+],anionic,25,2.964170175,30.7,0.00000237,0.7,41.3,3.751285422,2
CCCCCCCCCCCC(CCS(=O)(=O)[O-])N1CCCCC1.[Na+],anionic,25,3.309981219,,,,,,6
CCCCCCCCCCCC(CCS(=O)(=O)[O-])OCCO.[Na+],anionic,25,3.445,,,,,,6
CCCCCCCCCCCC(CCS(=O)(=O)[O-])OCCOCCO.[Na+],anionic,25,2.92190585,29,0.00000175,0.95,43,4.072962915,3
CCCCCCCCCCCC(CCS(=O)(=O)[O-])Oc1cc(Cl)c(Cl)cc1Cl.[Na+],anionic,25,4.787013815,30.4,0.00000195,0.85,41.6,5.757135489,3
CCCCCCCCCCCC(CCS(=O)(=O)[O-])Oc1ccccc1.[Na+],anionic,25,3.640923774,29.1,0.00000213,0.78,42.9,4.582516178,3
CCCCCCCCCCCC(O)CCS(=O)(=O)[O-].[Na+],anionic,25,2.199,,,,,,6
CCCCCCCCCCCCC(=O)OCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,2.523023534,,,,,,6
CCCCCCCCCCCCC(=O)[O-].[K+],anionic,25,1.59345982,,,,,,6
CCCCCCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],anionic,25,2.480959961,,0.000000555,2.99,,,6
CCCCCCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,3.389978975,,,,,,6
CCCCCCCCCCCCC(CC)COS(=O)(=O)[O-].[Na+],anionic,25,2.823908741,,,,,,6
CCCCCCCCCCCCC(CC)OS(=O)(=O)[O-].[Na+],anionic,25,2.657972312,,,,,,6
CCCCCCCCCCCCC(CC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,3.280006174,,,,,,6
CCCCCCCCCCCCC(CCC)OS(=O)(=O)[O-].[Na+],anionic,25,2.628932138,,,,,,7
CCCCCCCCCCCCC(CCCCC)OS(=O)(=O)[O-].[Na+],anionic,25,3.027010773,,,,,,7
CCCCCCCCCCCCC(CO)S(=O)(=O)[O-].[Na+],anionic,25,2.432033093,,,,,,7
CCCCCCCCCCCCC=CS(=O)(=O)[O-].[Na+],anionic,25,2.568958055,,,,,,7
CCCCCCCCCCCCCC(=O)CCS(=O)(=O)[O-].[Na+],anionic,40,2.734946211,,,,,,7
CCCCCCCCCCCCCC(C)COS(=O)(=O)[O-].[Na+],anionic,25,2.959002308,,,,,,7
CCCCCCCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],anionic,25,2.76700389,,0.000000525,3.16,,,7
CCCCCCCCCCCCCC(C)c1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,3.576918042,,,,,,7
CCCCCCCCCCCCCC(CCS(=O)(=O)[O-])OCCC.[Na+],anionic,25,4.089002284,,,,,,7
CCCCCCCCCCCCCC(CCS(=O)(=O)[O-])OCCCC.[Na+],anionic,25,4.458046526,,,,,,7
CCCCCCCCCCCCCC(O)CCS(=O)(=O)[O-].[Na+],anionic,25,2.838931615,,,,,,7
CCCCCCCCCCCCCCC(=O)[O-].[K+],anionic,25,2.180456064,,,,,,7
CCCCCCCCCCCCCCC(CCC)OS(=O)(=O)[O-].[Na+],anionic,25,3.143029567,,0.000000454,3.66,,,7
CCCCCCCCCCCCCCC(CCCC)OS(=O)(=O)[O-].[Na+],anionic,25,3.0970186,,,,,,7
CCCCCCCCCCCCCCC(CCCCCCCCCCCCCC)OS(=O)(=O)[O-].[Na+],anionic,25,4.100015437,,,,,,7
CCCCCCCCCCCCCCC(OC(=O)CC)S(=O)(=O)[O-].[Na+],anionic,25,3.964170175,,,,,,7
CCCCCCCCCCCCCCC=CS(=O)(=O)[O-].[Na+],anionic,25,3.124996646,,,,,,7
CCCCCCCCCCCCCCCC(=O)N[C@H]1C(OC)O[C@H](COS(=O)(=O)[O-])[C@@H](O)[C@@H]1O.[Na+],anionic,25,3.920818754,,,,,,7
CCCCCCCCCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],anionic,25,2.628932138,,0.000000474,3.5,,,7
CCCCCCCCCCCCCCCC(O)CCS(=O)(=O)[O-].[Na+],anionic,25,3.419987887,,,,,,7
CCCCCCCCCCCCCCCCC(=O)[O-].[K+],anionic,35,2.744727495,,,,,,7
CCCCCCCCCCCCCCCCC(C)OS(=O)(=O)[O-].[Na+],anionic,25,3.346980549,,0.000000452,3.67,,,8
CCCCCCCCCCCCCCCCC(OC(=O)C(C)C)S(=O)(=O)[O-].[Na+],anionic,25,2.566070234,,,,,,8
CCCCCCCCCCCCCCCCC(OC(=O)CC)S(=O)(=O)[O-].[Na+],anionic,25,4.898940645,,,,,,8
CCCCCCCCCCCCCCCCC(OC(=O)CCC)S(=O)(=O)[O-].[Na+],anionic,25,4.568958055,,,,,,8
CCCCCCCCCCCCCCCCC(OC(C)=O)S(=O)(=O)[O-].[Na+],anionic,25,4.106016433,,,,,,8
CCCCCCCCCCCCCCCCC=CS(=O)(=O)[O-].[Na+],anionic,25,3.744968837,,,,,,8
CCCCCCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],anionic,25,3.635073966,,,,,,8
CCCCCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],anionic,25,3.131003098,,,,,,8
CCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25,2.921180817,,,,,,8
CCCCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],anionic,25,3.139003563,,,,,,8
CCCCCCCCCCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],anionic,25,1.985899678,,,,,,8
CCCCCCCCCCCCCCOC(=O)[C@@H](Cc1ccccc1)NC(=O)c1ccccc1S(=O)(=O)[O-].[Na+],anionic,25,4.79588001734408,30.7,,,,,3
CCCCCCCCCCCCCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25,3.160019442,,,,,,8
CCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25,3.070019409,,,,,,8
CCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25,2.367036832,,,,,,8
CCCCCCCCCCCCCS(=O)(=O)[O-].[Na+],anionic,25,2.421017157,,,,,,8
CCCCCCCCCCCCOC(=O)[C@@H](Cc1ccccc1)NC(=O)c1ccccc1S(=O)(=O)[O-].[Na+],anionic,25,4.20065945054642,30.4,,,,,3
CCCCCCCCCCCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25,2.770062314,,,,,,8
CCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25,1.783042793,,,,,,8
CCCCCCCCCCOC(=O)CCS(=O)(=O)[O-].[Na+],anionic,25,1.883060353,,,,,,8
CCCCCCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],anionic,25,1.621057301,,,,,,8
CCCCCCCCCCOC(=O)[C@@H](Cc1ccccc1)NC(=O)c1ccccc1S(=O)(=O)[O-].[Na+],anionic,25,3.48148606012211,29.1,,,,,3
CCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,25,1.910094889,,,,,,9
CCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25,1.480959961,,0.000000534,3.11,,,9
CCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,2.509058795,,,,,,9
CCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25,1.221993539,,,,,,9
CCCCCCCCOC(=O)CCS(=O)(=O)[O-].[Na+],anionic,25,1.31202538,,,,,,9
CCCCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],anionic,25,1.143996546,,,,,,9
CCCCCCCCOC(=O)[C@@H](Cc1ccccc1)NC(=O)c1ccccc1S(=O)(=O)[O-].[Na+],anionic,25,2.85387196432176,29,,,,,3
CCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25,0.853871964,,,,,,9
CCCCCCCCS(=O)(=O)[O-].[Na+],anionic,25,0.795880017,,,,,,9
CCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25,0.657972312,,,,,,9
CCCCCCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],anionic,25,1.582030358,,,,,,9
CCCCCCOC(=O)CS(=O)(=O)[O-].[Na+],anionic,25,0.733063089,,,,,,9
CCCCCCS(=O)(=O)[O-].[Na+],anionic,25,0.495937117,,,,,,9
CCCCCOC(=O)[C@@H](Cc1ccccc1)NC(=O)c1ccccc1S(=O)(=O)[O-].[Na+],anionic,25,1.85387196432176,30.5,,,,,3
CCCCCCCCCCCCCCCC(=O)NC(C(=O)[O-])C(C)C.[Na+],anionic,25,2.721246399,,,,,,9
CCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25,3.397940009,,0.0000005,3.32,,,9
CCCCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],anionic,25,3.958607315,,,,,,9
CCCCCCCCCCCCS(=O)(=O)[O-].[Na+],anionic,25,1.959002308,,,,,,9
CCCCCCCCCCCC[NH2+]CCO.[Cl-],cationic,25,1.346787486,40.8,0.00000193,0.86,31,2.24,6
CCCCCCCCCCCC[n+]1ccccc1.[Br-],cationic,25,1.943095149,38.9,0.0000033,0.5,32.9,2.46,6
CCCCCCCCCCCC[n+]1ccccc1.[Cl-],cationic,25,1.769551079,43.7,0.0000027,0.62,28.3,2.07,6
