名称,smiles,EO,PO,亲油亲水值HLB,CMC（临界胶束浓度）,表面张力（γcmc）,界面张力（IFT）,润湿性接触角θ,最小分子截面积Amin,最大表面过剩浓度Γmax,表面张力降低效率参数Pc20,文献或来源（如果可以）
OE3P3S/CTAB 8:2 mixture,CCCCCCCC/C=C\CCCCCCCCOCCOCCOCCOC(C)COC(C)COC(C)COS(=O)(=O)[O-].[Na+].CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],3.4,3.0,,1.7e-05,33.93,,,0.5602,2.97e-06,,"Li/Ren et al.; Adsorption and Aggregation Behaviors of Oleyl Alcohol-Based Extended Surfactant and Its Mixtures; Molecules 2024, 29, 2570; DOI 10.3390/molecules29112570; Table 2; OE3P3S/CTAB 8:2 mixture"
OE3P3S/DTAB 6:4 mixture,CCCCCCCC/C=C\CCCCCCCCOCCOCCOCCOC(C)COC(C)COC(C)COS(=O)(=O)[O-].[Na+].CCCCCCCCCCCC[N+](C)(C)C.[Br-],3.4,3.0,,2.9e-05,33.13,,,0.7895,2.1e-06,,"Li/Ren et al.; Adsorption and Aggregation Behaviors of Oleyl Alcohol-Based Extended Surfactant and Its Mixtures; Molecules 2024, 29, 2570; DOI 10.3390/molecules29112570; Table 2; OE3P3S/DTAB 6:4 mixture"
OE3P3S/TTAB 6:4 mixture,CCCCCCCC/C=C\CCCCCCCCOCCOCCOCCOC(C)COC(C)COC(C)COS(=O)(=O)[O-].[Na+].CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],3.4,3.0,,2.6e-05,32.75,,,0.6776,2.45e-06,,"Li/Ren et al.; Adsorption and Aggregation Behaviors of Oleyl Alcohol-Based Extended Surfactant and Its Mixtures; Molecules 2024, 29, 2570; DOI 10.3390/molecules29112570; Table 2; OE3P3S/TTAB 6:4 mixture"
L-C12PO4S,CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-].[Na+],0.0,4.0,,9.9e-05,30.1,,21.9,1.13,1.47e-06,,"Jiang et al.; Wettability of a Polymethylmethacrylate Surface by Extended Anionic Surfactants; Molecules 2021, 26, 863; DOI 10.3390/molecules26040863; Table 1; L-C12PO4S"
G-C12PO4S,CCCCCCC(CCCC)COCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-].[Na+],0.0,4.0,,0.0003,31.4,,28.5,1.33,1.25e-06,,"Jiang et al.; Wettability of a Polymethylmethacrylate Surface by Extended Anionic Surfactants; Molecules 2021, 26, 863; DOI 10.3390/molecules26040863; Table 1; G-C12PO4S"
G-C16PO4S,CCCCCCCCC(CCCCCC)COCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-].[Na+],0.0,4.0,,1.5e-05,30.7,,12.8,1.34,1.24e-06,,"Jiang et al.; Wettability of a Polymethylmethacrylate Surface by Extended Anionic Surfactants; Molecules 2021, 26, 863; DOI 10.3390/molecules26040863; Table 1; G-C16PO4S"
C12P4S,CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-].[Na+],0.0,4.0,,0.00042,40.0,,,1.66,1e-06,,"Jiang et al.; Molecules 2021, 26, 863; Table 1 citing Liu et al.; Surface tension, interfacial tension and emulsification of sodium dodecyl sulfate extended surfactant; Colloids Surf. A 2016, 494, 201-208; C12P4S"
C12P8S,CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-].[Na+],0.0,8.0,,7.8e-05,35.5,,,1.54,1.08e-06,,"Jiang et al.; Molecules 2021, 26, 863; Table 1 citing Liu et al.; Surface tension, interfacial tension and emulsification of sodium dodecyl sulfate extended surfactant; Colloids Surf. A 2016, 494, 201-208; C12P8S"
C12P12S,CCCCCCCCCCCCOCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-].[Na+],0.0,12.0,,4.3e-05,33.7,,,1.64,1.01e-06,,"Jiang et al.; Molecules 2021, 26, 863; Table 1 citing Liu et al.; Surface tension, interfacial tension and emulsification of sodium dodecyl sulfate extended surfactant; Colloids Surf. A 2016, 494, 201-208; C12P12S"
PP3S,CCCCCCCCCc1ccc(OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-])cc1.[Na+],0.0,3.0,,5.9e-05,34.4,,,1.0,1.66e-06,,"Jiang et al.; Molecules 2021, 26, 863; Table 1 citing He et al.; Extended surfactants: A well-designed spacer to improve interfacial performance through a gradual polarity transition; Colloids Surf. A 2014, 450, 83-92; PP3S"
PP6S,CCCCCCCCCc1ccc(OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-])cc1.[Na+],0.0,6.0,,3e-05,34.1,,,1.29,1.29e-06,,"Jiang et al.; Molecules 2021, 26, 863; Table 1 citing He et al.; Extended surfactants: A well-designed spacer to improve interfacial performance through a gradual polarity transition; Colloids Surf. A 2014, 450, 83-92; PP6S"
PP9S,CCCCCCCCCc1ccc(OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-])cc1.[Na+],0.0,9.0,,1.6e-05,33.7,,,1.41,1.17e-06,,"Jiang et al.; Molecules 2021, 26, 863; Table 1 citing He et al.; Extended surfactants: A well-designed spacer to improve interfacial performance through a gradual polarity transition; Colloids Surf. A 2014, 450, 83-92; PP9S"
PP12S,CCCCCCCCCc1ccc(OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-])cc1.[Na+],0.0,12.0,,1.2e-05,36.9,,,1.71,9.7e-07,,"Jiang et al.; Molecules 2021, 26, 863; Table 1 citing He et al.; Extended surfactants: A well-designed spacer to improve interfacial performance through a gradual polarity transition; Colloids Surf. A 2014, 450, 83-92; PP12S"
16BAC,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-],0.0,0.0,,0.00054,39.1,,,,3.3e-06,,PendantProp v1; BigChemistry-RobotLab; Nature/npj Computational Materials 2025; figures_and_tables/table1/table_final.csv; CMC from mM to mol/L; Gamma_max from umol/m2 to mol/m2; https://github.com/BigChemistry-RobotLab/PendantProp
BDDAB,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Br-],0.0,0.0,,0.00499,28.7,,,,3.5e-06,,PendantProp v1; BigChemistry-RobotLab; Nature/npj Computational Materials 2025; figures_and_tables/table1/table_final.csv; CMC from mM to mol/L; Gamma_max from umol/m2 to mol/m2; https://github.com/BigChemistry-RobotLab/PendantProp
C12E3,CCCCCCCCCCCCOCCOCCOCCO,3.0,0.0,,8e-05,28.1,,,,5.1e-06,,PendantProp v1; BigChemistry-RobotLab; Nature/npj Computational Materials 2025; figures_and_tables/table1/table_final.csv; CMC from mM to mol/L; Gamma_max from umol/m2 to mol/m2; https://github.com/BigChemistry-RobotLab/PendantProp
C12E4,CCCCCCCCCCCCOCCOCCOCCOCCO,4.0,0.0,,8e-05,30.3,,,,4.8e-06,,PendantProp v1; BigChemistry-RobotLab; Nature/npj Computational Materials 2025; figures_and_tables/table1/table_final.csv; CMC from mM to mol/L; Gamma_max from umol/m2 to mol/m2; https://github.com/BigChemistry-RobotLab/PendantProp
CTAB,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.0,0.0,,0.00107,35.2,,,,4.4e-06,,PendantProp v1; BigChemistry-RobotLab; Nature/npj Computational Materials 2025; figures_and_tables/table1/table_final.csv; CMC from mM to mol/L; Gamma_max from umol/m2 to mol/m2; https://github.com/BigChemistry-RobotLab/PendantProp
DTAB,CCCCCCCCCCCC[N+](C)(C)C.[Br-],0.0,0.0,,0.01293,34.9,,,,3.4e-06,,PendantProp v1; BigChemistry-RobotLab; Nature/npj Computational Materials 2025; figures_and_tables/table1/table_final.csv; CMC from mM to mol/L; Gamma_max from umol/m2 to mol/m2; https://github.com/BigChemistry-RobotLab/PendantProp
NaOleate,CCCCCCCC/C=C\CCCCCCCC(=O)[O-].[Na+],0.0,0.0,,0.00016,39.0,,,,4.7e-06,,PendantProp v1; BigChemistry-RobotLab; Nature/npj Computational Materials 2025; figures_and_tables/table1/table_final.csv; CMC from mM to mol/L; Gamma_max from umol/m2 to mol/m2; https://github.com/BigChemistry-RobotLab/PendantProp
SDBS,CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],0.0,0.0,,0.00265,35.1,,,,3.4e-06,,PendantProp v1; BigChemistry-RobotLab; Nature/npj Computational Materials 2025; figures_and_tables/table1/table_final.csv; CMC from mM to mol/L; Gamma_max from umol/m2 to mol/m2; https://github.com/BigChemistry-RobotLab/PendantProp
SDS,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00767,38.3,,,,4.4e-06,,PendantProp v1; BigChemistry-RobotLab; Nature/npj Computational Materials 2025; figures_and_tables/table1/table_final.csv; CMC from mM to mol/L; Gamma_max from umol/m2 to mol/m2; https://github.com/BigChemistry-RobotLab/PendantProp
SOS,CCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.12874,40.7,,,,3.3e-06,,PendantProp v1; BigChemistry-RobotLab; Nature/npj Computational Materials 2025; figures_and_tables/table1/table_final.csv; CMC from mM to mol/L; Gamma_max from umol/m2 to mol/m2; https://github.com/BigChemistry-RobotLab/PendantProp
TTAB,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],0.0,0.0,,0.00299,31.1,,,,5.7e-06,,PendantProp v1; BigChemistry-RobotLab; Nature/npj Computational Materials 2025; figures_and_tables/table1/table_final.csv; CMC from mM to mol/L; Gamma_max from umol/m2 to mol/m2; https://github.com/BigChemistry-RobotLab/PendantProp
16BAC_C12E4 混合体系 alpha=0.0,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-].CCCCCCCCCCCCOCCOCCOCCOCCO,4.0,0.0,,7.949902000000001e-05,28.586535,,,,3.5238594e-05,4.443738011146346,PendantProp v1; BigChemistry-RobotLab; Nature/npj Computational Materials 2025; data/mixture/16BAC_C12E4/mixture_properties_16BAC_C12E4.csv; alpha=0.0; CMC and C20 converted from mM to mol/L/pC20; https://github.com/BigChemistry-RobotLab/PendantProp
16BAC_C12E4 混合体系 alpha=0.2,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-].CCCCCCCCCCCCOCCOCCOCCOCCO,3.2,0.0,,0.0001156802299999,30.591185,,,,7.736906e-06,4.489841469329331,PendantProp v1; BigChemistry-RobotLab; Nature/npj Computational Materials 2025; data/mixture/16BAC_C12E4/mixture_properties_16BAC_C12E4.csv; alpha=0.2; CMC and C20 converted from mM to mol/L/pC20; https://github.com/BigChemistry-RobotLab/PendantProp
16BAC_C12E4 混合体系 alpha=0.4,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-].CCCCCCCCCCCCOCCOCCOCCOCCO,2.4,0.0,,0.0001376128,32.15325,,,,8.878179e-06,4.332546673523556,PendantProp v1; BigChemistry-RobotLab; Nature/npj Computational Materials 2025; data/mixture/16BAC_C12E4/mixture_properties_16BAC_C12E4.csv; alpha=0.4; CMC and C20 converted from mM to mol/L/pC20; https://github.com/BigChemistry-RobotLab/PendantProp
16BAC_C12E4 混合体系 alpha=0.6,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-].CCCCCCCCCCCCOCCOCCOCCOCCO,1.6,0.0,,0.00018904968,34.066277,,,,8.079574e-06,4.172540193738907,PendantProp v1; BigChemistry-RobotLab; Nature/npj Computational Materials 2025; data/mixture/16BAC_C12E4/mixture_properties_16BAC_C12E4.csv; alpha=0.6; CMC and C20 converted from mM to mol/L/pC20; https://github.com/BigChemistry-RobotLab/PendantProp
16BAC_C12E4 混合体系 alpha=0.8,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-].CCCCCCCCCCCCOCCOCCOCCOCCO,0.7999999999999998,0.0,,0.00024333452,35.79578,,,,2.0654526e-05,3.893205862757073,PendantProp v1; BigChemistry-RobotLab; Nature/npj Computational Materials 2025; data/mixture/16BAC_C12E4/mixture_properties_16BAC_C12E4.csv; alpha=0.8; CMC and C20 converted from mM to mol/L/pC20; https://github.com/BigChemistry-RobotLab/PendantProp
16BAC_C12E4 混合体系 alpha=1.0,CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.[Cl-].CCCCCCCCCCCCOCCOCCOCCOCCO,0.0,0.0,,0.0005701599,38.92508,,,,7.0899523e-06,3.5904049806031844,PendantProp v1; BigChemistry-RobotLab; Nature/npj Computational Materials 2025; data/mixture/16BAC_C12E4/mixture_properties_16BAC_C12E4.csv; alpha=1.0; CMC and C20 converted from mM to mol/L/pC20; https://github.com/BigChemistry-RobotLab/PendantProp
SOS_SDS 混合体系 alpha=0.0,CCCCCCCCOS(=O)(=O)[O-].[Na+].CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.0074198779999999,38.161148,,,,1.5437614e-05,2.388263461609236,PendantProp v1; BigChemistry-RobotLab; Nature/npj Computational Materials 2025; data/mixture/SOS_SDS/mixture_properties_SOS_SDS.csv; alpha=0.0; CMC and C20 converted from mM to mol/L/pC20; https://github.com/BigChemistry-RobotLab/PendantProp
SOS_SDS 混合体系 alpha=0.145,CCCCCCCCOS(=O)(=O)[O-].[Na+].CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.0079194307,38.223103,,,,3.222138e-05,2.3222310382154823,PendantProp v1; BigChemistry-RobotLab; Nature/npj Computational Materials 2025; data/mixture/SOS_SDS/mixture_properties_SOS_SDS.csv; alpha=0.145; CMC and C20 converted from mM to mol/L/pC20; https://github.com/BigChemistry-RobotLab/PendantProp
SOS_SDS 混合体系 alpha=0.311,CCCCCCCCOS(=O)(=O)[O-].[Na+].CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.009137652,37.489246,,,,2.7814685e-05,2.27122760567583,PendantProp v1; BigChemistry-RobotLab; Nature/npj Computational Materials 2025; data/mixture/SOS_SDS/mixture_properties_SOS_SDS.csv; alpha=0.311; CMC and C20 converted from mM to mol/L/pC20; https://github.com/BigChemistry-RobotLab/PendantProp
SOS_SDS 混合体系 alpha=0.504,CCCCCCCCOS(=O)(=O)[O-].[Na+].CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.010480414,37.54727,,,,7.1488386e-05,2.189374441888475,PendantProp v1; BigChemistry-RobotLab; Nature/npj Computational Materials 2025; data/mixture/SOS_SDS/mixture_properties_SOS_SDS.csv; alpha=0.504; CMC and C20 converted from mM to mol/L/pC20; https://github.com/BigChemistry-RobotLab/PendantProp
SOS_SDS 混合体系 alpha=0.731,CCCCCCCCOS(=O)(=O)[O-].[Na+].CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.015183946,35.97223,,,,4.8458787e-05,2.0567038308130563,PendantProp v1; BigChemistry-RobotLab; Nature/npj Computational Materials 2025; data/mixture/SOS_SDS/mixture_properties_SOS_SDS.csv; alpha=0.731; CMC and C20 converted from mM to mol/L/pC20; https://github.com/BigChemistry-RobotLab/PendantProp
SOS_SDS 混合体系 alpha=1.0,CCCCCCCCOS(=O)(=O)[O-].[Na+].CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.11477995,40.28559,,,,5.8655482e-06,1.2856773164618884,PendantProp v1; BigChemistry-RobotLab; Nature/npj Computational Materials 2025; data/mixture/SOS_SDS/mixture_properties_SOS_SDS.csv; alpha=1.0; CMC and C20 converted from mM to mol/L/pC20; https://github.com/BigChemistry-RobotLab/PendantProp
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.0076,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=01.0; additives=nan; authors=SCHI; reference=63026; original CMC=7.6 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.0075,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=05.0; additives=nan; authors=SCHI MANN; reference=66001; original CMC=7.5 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.0086,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=08.0; additives=nan; authors=FLOC UBBE; reference=53008; original CMC=8.6 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.006347,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=UNK; additives=nan; authors=KUSH HUBB; reference=55003; original CMC=1.83 X10-1 D 6.347X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00867,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=10; additives=nan; authors=FLOC; reference=61007; original CMC=8.67 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.0085,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=10.5; additives=nan; authors=FLOC UBBE; reference=53008; original CMC=8.5 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00855,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=10; additives=nan; authors=FLOC; reference=57013; original CMC=8.55 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.0074,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=10; additives=nan; authors=SCHI; reference=64020; original CMC=7.4 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00965,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=15; additives=nan; authors=SHIR MATU; reference=65020; original CMC=9.65 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00843,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=15; additives=nan; authors=FLOC; reference=61007; original CMC=8.43 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
