SMILES,type,EO,PO,CMC,AW_ST_CMC,Gamma_max,Area_min,Pi_CMC,pC20,source
CCCCCCCCCc1ccc(OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-])cc1.[Na+],anionic aromatic,0.0,9.0,1.6e-05,33.7,1.17e-06,1.41,,,"Jiang et al.; Molecules 2021, 26, 863; Table 1 citing He et al.; Extended surfactants: A well-designed spacer to improve interfacial performance through a gradual polarity transition; Colloids Surf. A 2014, 450, 83-92; PP9S"
CCCCCCCCCc1ccc(OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OCC(C)OS(=O)(=O)[O-])cc1.[Na+],anionic aromatic,0.0,12.0,1.2e-05,36.9,9.7e-07,1.71,,,"Jiang et al.; Molecules 2021, 26, 863; Table 1 citing He et al.; Extended surfactants: A well-designed spacer to improve interfacial performance through a gradual polarity transition; Colloids Surf. A 2014, 450, 83-92; PP12S"
CCCCCCCCOCCO,nonionic,1.0,0.0,0.0048999999996782,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.69019608 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCOCCOCCOCCO,nonionic,3.0,0.0,0.0074999999932355,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.87506126 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCOCCOCCOCCOCCOCCO,nonionic,5.0,0.0,0.0091999999926798,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.96378783 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCOCCOCCOCCOCCOCCOCCO,nonionic,6.0,0.0,0.009900000009174,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.9956352 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCOCCOCCOCCOCCO,nonionic,4.0,0.0,0.0006800000004599,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.83250891 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCOCCOCCOCCOCCOCCO,nonionic,5.0,0.0,0.0007599999995086,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.88081359 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCOCCOCCOCCOCCOCCOCCO,nonionic,6.0,0.0,0.0008999999990895,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.95424251 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,8.0,0.0,0.001,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,8.0,0.0,0.0003000000001936,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.47712126 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCOCCOCCO,nonionic,2.0,0.0,3.300000000927876e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.51851394 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCOCCOCCOCCO,nonionic,3.0,0.0,5.200000004372708e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.71600334 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCOCCOCCOCCOCCO,nonionic,4.0,0.0,6.400000000237447e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.80617997 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCOCCOCCOCCOCCOCCO,nonionic,5.0,0.0,6.400000000237447e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.80617997 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,7.0,0.0,8.199999992754979e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.91381385 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,8.0,0.0,0.0001090000000149,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.0374265 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCOCCOCCOCCOCCOCCO,nonionic,5.0,0.0,4.899999999678287e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.69019608 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,8.0,0.0,2.699999999011581e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.43136376 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,nonionic,6.0,0.0,1e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,8.0,0.0,8.999999990895758e-06,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=0.954242509 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,8.0,0.0,3.4999999971771144e-06,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=0.544068044 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,nonionic,6.0,0.0,1.6599999998468975e-06,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=0.220108088 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,7.0,0.0,1.699999998519286e-06,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=0.230448921 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,9.0,0.0,2.1000000012866145e-06,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=0.322219295 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,12.0,0.0,2.2999999999068293e-06,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=0.361727836 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,15.0,0.0,3.1000000011829645e-06,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=0.491361694 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,21.0,0.0,3.899999999762034e-06,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=0.591064607 converted to mol/L; https://github.com/sandialabs/P2SURF
OCCOCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,nonionic,3.0,0.0,0.0025000000018879,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.39794001 converted to mol/L; https://github.com/sandialabs/P2SURF
OCCOCCOCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,nonionic,4.0,0.0,0.0027999999977936,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.44715803 converted to mol/L; https://github.com/sandialabs/P2SURF
OCCOCCOCCOCCOCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,nonionic,6.0,0.0,0.0036999999994292,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.56820172 converted to mol/L; https://github.com/sandialabs/P2SURF
OCCOCCOCCOCCOCCOCCOCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,nonionic,8.0,0.0,0.0047999999958488,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.68124124 converted to mol/L; https://github.com/sandialabs/P2SURF
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,nonionic,10.0,0.0,0.0003300000000927,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.51851394 converted to mol/L; https://github.com/sandialabs/P2SURF
CC(C)(C)CC(C)(C)c1ccc(OCCOCCO)cc1,nonionic,2.0,0.0,0.0001299999999081,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.11394335 converted to mol/L; https://github.com/sandialabs/P2SURF
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCO)cc1,nonionic,3.0,0.0,9.699999994053392e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.98677173 converted to mol/L; https://github.com/sandialabs/P2SURF
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCO)cc1,nonionic,4.0,0.0,0.0001299999999081,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.11394335 converted to mol/L; https://github.com/sandialabs/P2SURF
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCO)cc1,nonionic,5.0,0.0,0.0001499999999807,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.17609126 converted to mol/L; https://github.com/sandialabs/P2SURF
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCO)cc1,nonionic,6.0,0.0,0.0002100000001286,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.3222193 converted to mol/L; https://github.com/sandialabs/P2SURF
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCO)cc1,nonionic,7.0,0.0,0.0002500000001887,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.39794001 converted to mol/L; https://github.com/sandialabs/P2SURF
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCO)cc1,nonionic,8.0,0.0,0.0002799999997793,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.44715803 converted to mol/L; https://github.com/sandialabs/P2SURF
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,nonionic,9.0,0.0,0.0003000000001936,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.47712126 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCOCCOCCOCCO,nonionic,3.0,0.0,0.1,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=5 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCOCCOCCOCCO,nonionic,3.0,0.0,0.0005999999994699,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.77815125 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,nonionic,6.0,0.0,8.700000007640026e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.93951925 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,8.0,0.0,0.0129999999908152,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=4.11394335 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,9.0,0.0,0.0012999999990815,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.11394335 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCOCCS(=O)(=O)[O-],anionic,1.0,0.0,0.0158999999882679,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=4.20139712 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCOCCOS(=O)(=O)[O-],anionic,1.0,0.0,0.003899999999762,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.59106461 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-],anionic,2.0,0.0,0.0029000000006747,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.462398 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOS(=O)(=O)[O-],anionic,5.0,0.0,2.500000001887904e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.39794001 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCC(CCCCCC)COCCOCCOCCOCCOCCOS(=O)(=O)[O-],anionic,5.0,0.0,8.599999995176808e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.93449845 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCOC(=O)CC(C(=O)OCCCC)S(=O)(=O)[O-],anionic,1.0,0.0,0.2000000001547421,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=5.30103 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCOC(=O)CC(C(=O)OCCCCC)S(=O)(=O)[O-],anionic,1.0,0.0,0.0530000000487184,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=4.72427587 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCOC(=O)CC(C(=O)OCCCCCCCC)S(=O)(=O)[O-],anionic,1.0,0.0,0.0009099999993271,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.95904139 converted to mol/L; https://github.com/sandialabs/P2SURF
