Compound No.,Mol. Wgt.,Name,IUPAC,SMILES,Lookup wgt.,Method
33,400.5,SODIUM /0X0/ DECYL ALPHA SULFOPELARGONATE,sodium;1-methoxy-1-oxooctadecane-2-sulfonate,CCCCCCCCCCCCCCCCC(C(=O)OC)S(=O)(=O)[O-].[Na+],400.6,LLM retried name and weight
34,428.6,SODIUM DODECYL ALPHA SULFOPELARGONATE,sodium;1-oxo-1-propoxyoctadecane-9-sulfonate,CCCCCCCCCC(CCCCCCCC(=O)OCCC)S(=O)(=O)[O-].[Na+],428.6,LLM initial name and weight
35,574.3,SODIUM H/CF2CF2/3CH2 ALPHA SULFOPELARGONATE,N/A,N/A,0,Unknown
37,193.7,DECYLAMMONIUM CHLORIDE,decan-1-amine;hydrochloride,CCCCCCCCCCN.Cl,193.76,LLM initial name and weight
38,221.8,DODECYL AMMONIUM CHLORIDE,dodecan-1-amine;hydrochloride,CCCCCCCCCCCCN.Cl,221.81,LLM initial name and weight
36,372.4,SODIUM METHYL ALPHA SULFOPALMITATE,sodium;1-methoxy-1-oxohexadecane-2-sulfonate,CCCCCCCCCCCCCCC(C(=O)OC)S(=O)(=O)[O-].[Na+],372.5,LLM initial name and weight
39,249.9,TETRADECYL AMMONIUM CHLORIDE,"N,N-dimethyldodecan-1-amine;hydrochloride",CCCCCCCCCCCCN(C)C.Cl,249.86,LLM initial name and weight
40,288.4,POTASSIUM DODECYL 1 SULFONATE,potassium;dodecane-1-sulfonate,CCCCCCCCCCCCS(=O)(=O)[O-].[K+],288.49,LLM initial name and weight
41,263.9,DODECYL TRIMETHYL AMMONIUM CHLORIDE,dodecyl(trimethyl)azanium;chloride,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],263.89,LLM initial name and weight
42,292,TETRADECYL TRIMETHYL AMMONIUM CHLORIDE,trimethyl(tetradecyl)azanium;chloride,CCCCCCCCCCCCCC[N+](C)(C)C.[Cl-],291.9,LLM initial name and weight
43,88.1,BUTYRIC ACID,2-methylpropanoic acid,CC(C)C(=O)O,88.11,LLM initial name and weight
44,182.3,POTASSIUM OCTANOATE,potassium;octanoate,CCCCCCCC(=O)[O-].[K+],182.3,LLM initial name and weight
45,334.4,SODIUM P 1 METHYL DECYL BENZENE SULFONATE,sodium;3-undecylbenzenesulfonate,CCCCCCCCCCCC1=CC(=CC=C1)S(=O)(=O)[O-].[Na+],334.5,Found by mass lookup
46,362.4,SODIUM P 1 METHYL DODECYL BENZENE SULFONATE,sodium;4-tridecylbenzenesulfonate,CCCCCCCCCCCCCC1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],362.5,LLM retried name and weight
47,390.5,SODIUM P 1 METHYL TETRADECYL BENZENE SULFONATE,sodium;2-pentadecylbenzenesulfonate,CCCCCCCCCCCCCCCC1=CC=CC=C1S(=O)(=O)[O-].[Na+],390.6,LLM initial name and weight
48,418.6,SODIUM P 1 METHYL HEXADECYL BENZENE SULFONATE,sodium;2-heptadecylbenzenesulfonate,CCCCCCCCCCCCCCCCCC1=CC=CC=C1S(=O)(=O)[O-].[Na+],418.6,LLM initial name and weight
49,292.3,SODIUM P OCTYL BENZENE SULFONATE,sodium;4-octylbenzenesulfonate,CCCCCCCCC1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],292.37,LLM initial name and weight
50,320.4,SODIUM P DECYL BENZENE SULFONATE,sodium;4-decylbenzenesulfonate,CCCCCCCCCCC1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],320.4,LLM initial name and weight
51,348.4,SODIUM P DODECYL BENZENE SULFONATE,sodium;4-dodecan-2-ylbenzenesulfonate,CCCCCCCCCCC(C)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],348.5,LLM initial name and weight
52,388.5,SODIUM HEXADECYL MONO OXYETHYLENE SULFATE,sodium;12-hydroxyoctadecyl sulfate,CCCCCCC(CCCCCCCCCCCOS(=O)(=O)[O-])O.[Na+],388.5,LLM initial name and weight
53,432.6,SODIUM HEXADECYL DI OXYETHYLENE SULFATE,sodium;2-(2-hexadecoxyethoxy)ethyl sulfate,CCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],432.6,LLM initial name and weight
54,476.6,SODIUM HEXADECYL TRI OXYETHYLENE SULFATE,sodium;2-[2-(2-hexadecoxyethoxy)ethoxy]ethyl sulfate,CCCCCCCCCCCCCCCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],476.6,LLM initial name and weight
55,520.7,SODIUM HEXADECYL TETRA OXYETHYLENE SULFATE,sodium;2-[2-[2-(2-hexadecoxyethoxy)ethoxy]ethoxy]ethyl sulfate,CCCCCCCCCCCCCCCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],520.7,LLM initial name and weight
56,416.6,SODIUM OCTADECYL MONO OXYETHYLENE SULFATE,sodium;2-octadecoxyethyl sulfate,CCCCCCCCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],416.6,LLM initial name and weight
57,460.6,SODIUM OCTADECYL DI OXYETHYLENE SULFATE,sodium;2-(2-octadecoxyethoxy)ethyl sulfate,CCCCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],460.6,LLM initial name and weight
58,504.7,SODIUM OCTADECYL TRI OXYETHYLENE SULFATE,sodium;2-[2-(2-octadecan-9-yloxyethoxy)ethoxy]ethyl sulfate,CCCCCCCCCC(CCCCCCCC)OCCOCCOCCOS(=O)(=O)[O-].[Na+],504.7,LLM initial name and weight
59,548.7,SODIUM OCTADECYL TETRA OXYETHYLENE SULFATE,sodium;2-[2-[2-(2-octadecoxyethoxy)ethoxy]ethoxy]ethyl sulfate,CCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],548.8,LLM initial name and weight
60,471.7,TRIETHANOL AMMONIUM HEXADECYL SULFATE,2-[bis(2-hydroxyethyl)amino]ethanol;hexadecyl hydrogen sulfate,CCCCCCCCCCCCCCCCOS(=O)(=O)O.C(CO)N(CCO)CCO,471.7,LLM initial name and weight
61,370.5,SODIUM OLEYL/CIS 9 OCTADECENOYL/ SULFATE,sodium;[(Z)-octadec-9-enyl] sulfate,CCCCCCCCC=CCCCCCCCCOS(=O)(=O)[O-].[Na+],370.5,Found by mass lookup
62,370.5,SODIUM ELAIDYL/TRANS 9 OCTADECENOYL/SULFATE,sodium;[(Z)-octadec-9-enyl] sulfate,CCCCCCCCC=CCCCCCCCCOS(=O)(=O)[O-].[Na+],370.5,LLM retried name and weight
63,441.4,SODIUM 9 10 DICHLORO OCTADECYL SULFATE,"sodium;9,10-dichlorooctadecyl sulfate",CCCCCCCCC(C(CCCCCCCCOS(=O)(=O)[O-])Cl)Cl.[Na+],441.4,LLM initial name and weight
64,372.5,SODIUM OCTADECYL 1 SULFATE,sodium;octadecyl sulfate,CCCCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],372.5,LLM initial name and weight
65,499.7,TRIETHANOLAMMONTUM OCTADECYL 1 SULFATE,2-[bis(2-hydroxyethyl)amino]ethanol;octadecyl hydrogen sulfate,CCCCCCCCCCCCCCCCCCOS(=O)(=O)O.C(CO)N(CCO)CCO,499.7,LLM initial name and weight
66,232.2,SODIUM OCTYL 2 SULFATE,sodium;2-ethylhexyl sulfate,CCCCC(CC)COS(=O)(=O)[O-].[Na+],232.28,LLM initial name and weight
67,288.3,SODIUM DODECYL 2 SULFATE,sodium;dodecyl sulfate,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],288.38,LLM initial name and weight
68,302.3,SODIUM TRIDECYL 2 SULFATE,sodium;tridecyl sulfate,CCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],302.41,LLM initial name and weight
69,330.4,SODIUM PENTADECYL 2 SULFATE,sodium;pentadecyl sulfate,CCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],330.5,LLM initial name and weight
70,358.5,SODIUM HEPTADECYL 2 SULFATE,sodium;heptadecyl sulfate,CCCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],358.5,LLM initial name and weight
71,372.5,SODTUM OCTADECYL 2 SULFATE,sodium;octadecyl sulfate,CCCCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],372.5,LLM initial name and weight
72,274.3,SODIUM UNDECYL 3 SULFATE,sodium;undecyl sulfate,CCCCCCCCCCCOS(=O)(=O)[O-].[Na+],274.35,LLM initial name and weight
73,316.4,SODIUM TETRADECYL 3 SULFATE,sodium;tetradecyl sulfate,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],316.43,LLM initial name and weight
74,330.4,SODIUM PENTADECYL 3 SULFATE,sodium;pentadecyl sulfate,CCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],330.5,LLM initial name and weight
75,344.4,SODIUM HEXADECYL 4 SULFATE,sodium;hexadecyl sulfate,CCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],344.5,LLM initial name and weight
76,372.5,SODIUM OCTADECYL 4 SULFATE,sodium;octadecyl sulfate,CCCCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],372.5,LLM initial name and weight
77,316.4,SODIUM TETRADECYL 5 SULFATE,sodium;tetradecyl sulfate,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],316.43,LLM initial name and weight
78,330.4,SODIUM PENTADECYL 5 SULFATE,sodium;pentadecyl sulfate,CCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],330.5,LLM initial name and weight
79,386.5,SODIUM NONADECYL 5 SULFATE,sodium;3-hexadecoxypropane-1-sulfonate,CCCCCCCCCCCCCCCCOCCCS(=O)(=O)[O-].[Na+],386.6,LLM initial name and weight
80,274.3,SODIUM UNDECYL 6 SULFATE,sodium;undecyl sulfate,CCCCCCCCCCCOS(=O)(=O)[O-].[Na+],274.35,LLM initial name and weight
81,344.4,SODIUM HEXADECYL 6 SULFATE,sodium;hexadecyl sulfate,CCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],344.5,LLM initial name and weight
82,372.5,SODIUM OCTADECYL 6 SULFATE,sodium;octadecyl sulfate,CCCCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],372.5,LLM initial name and weight
83,302.3,SODIUM TRIDECYL 7 SULFATE,sodium;tridecyl sulfate,CCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],302.41,LLM initial name and weight
84,316.4,SODIUM TETRADECYL 7 SULFATE,sodium;tetradecyl sulfate,CCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],316.43,LLM initial name and weight
85,330.4,SODIUM PENTADECYL 8 SULFATE,sodium;pentadecyl sulfate,CCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],330.5,LLM initial name and weight
86,344.4,SODIUM HEXADECYL 8 SULFATE,sodium;hexadecyl sulfate,CCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],344.5,LLM initial name and weight
87,358.5,SODIUM HEPTADECYL 9 SULFATE,sodium;heptadecyl sulfate,CCCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],358.5,LLM initial name and weight
88,386.5,SODIUM 1 NONYL DECYL SULFATE,sodium;3-hexadecoxypropane-1-sulfonate,CCCCCCCCCCCCCCCCOCCCS(=O)(=O)[O-].[Na+],386.6,LLM initial name and weight
89,526.8,SODIUM 1 TETRADECYL PENTADECYL SULFATE,sodium;nonacosyl sulfate,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],526.8,LLM initial name and weight
90,210.3,POTASSIUM DECANOATE,potassium;decanoate,CCCCCCCCCC(=O)[O-].[K+],210.35,LLM initial name and weight
91,238.4,POTASSIUM DODECANOATE,potassium;dodecanoate,CCCCCCCCCCCC(=O)[O-].[K+],238.41,LLM initial name and weight
92,266.5,POTASSIUM TETRADECANOATE,potassium;tetradecanoate,CCCCCCCCCCCCCC(=O)[O-].[K+],266.46,LLM initial name and weight
93,252.2,OCTYL TRIMETHYL AMMONIUM BROMIDE,trimethyl(octyl)azanium;bromide,CCCCCCCC[N+](C)(C)C.[Br-],252.23,LLM initial name and weight
94,266.3,NONYL TRIMETHYL AMMONIUM BROMIDE,trimethyl(nonyl)azanium;bromide,CCCCCCCCC[N+](C)(C)C.[Br-],266.26,LLM initial name and weight
95,280.3,DECYL TRIMETHYL AMMONIUM BROMIDE,decyl(trimethyl)azanium;bromide,CCCCCCCCCC[N+](C)(C)C.[Br-],280.29,LLM initial name and weight
96,294.3,UNDECYL TRIMETHYL AMMONIUM BROMIDE,"N,N-dimethyldodecan-1-amine;hydrobromide",CCCCCCCCCCCCN(C)C.Br,294.31,LLM initial name and weight
97,308.4,DODECYL TRIMETHYL AMMONIUM BROMIDE,dodecyl(trimethyl)azanium;bromide,CCCCCCCCCCCC[N+](C)(C)C.[Br-],308.34,LLM initial name and weight
98,336.4,TETRADECYL TRIMETHYL AMMONIUM BROMIDE,trimethyl(tetradecyl)azanium;bromide,CCCCCCCCCCCCCC[N+](C)(C)C.[Br-],336.4,LLM initial name and weight
99,364.5,HEXADECYL TRIMETHYLAMMONIUM BROMIDE,hexadecyl(trimethyl)azanium;bromide,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],364.4,LLM initial name and weight
100,272.2,OCTYL PYRIDINIUM BROMIDE,benzyl(triethyl)azanium;bromide,CC[N+](CC)(CC)CC1=CC=CC=C1.[Br-],272.22,LLM initial name and weight
101,314.3,UNDECYL PYRIDINIUM BROMIDE,benzyl(tripropyl)azanium;bromide,CCC[N+](CCC)(CCC)CC1=CC=CC=C1.[Br-],314.3,LLM initial name and weight
102,356.4,TETRADECYL PYRIDINIUM BROMIDE,1-tetradecylpyridin-1-ium;bromide,CCCCCCCCCCCCCC[N+]1=CC=CC=C1.[Br-],356.4,LLM initial name and weight
103,234.3,HEXYL /OXYETHYLENE/ 3 ALCOHOL HOMOGENEOUS HEAD GROUP,1-[1-(1-propoxypropan-2-yloxy)propan-2-yloxy]propan-2-ol,CCCOCC(C)OCC(C)OCC(C)O,234.33,LLM initial name and weight
104,262.4,OCTYL /OXYETHYLENE/ 3 ALCOHOL HOMOGENEOUS HEAD GROUP,1-[2-[2-(2-butoxyethoxy)ethoxy]ethoxy]butane,CCCCOCCOCCOCCOCCCC,262.39,LLM initial name and weight
105,394.6,OCTYL /OXYETHYLENE/ 6 ALCOHOL HOMOGENEOUS HEAD GROUP,2-[2-[2-[2-[2-(2-octoxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethanol,CCCCCCCCOCCOCCOCCOCCOCCOCCO,394.5,LLM initial name and weight
106,526.7,OCTYL /OXYETHYLENE/ 9 ALCOHOL HOMOGENEOUS HEAD GROUP,"2,2-bis(hydroxymethyl)propane-1,3-diol;heptanoic acid;nonanoic acid;pentanoic acid",CCCCCCCCC(=O)O.CCCCCCC(=O)O.CCCCC(=O)O.C(C(CO)(CO)CO)O,526.7,LLM initial name and weight
107,290.4,DECYL /OXYETHYLENE/ 3 ALCOHOL HOMOGENEOUS HEAD GROUP,"2,5-bis(tert-butylperoxy)-2,5-dimethylhexane",CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,290.44,LLM initial name and weight
108,422.6,DECYL /OXYETHYLENE/ 6 ALCOHOL HOMOGENEOUS HEAD GROUP,2-[2-[2-[2-[2-(2-decoxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethanol,CCCCCCCCCCOCCOCCOCCOCCOCCOCCO,422.6,LLM initial name and weight
109,554.8,DECYL /OXYETHYLENE/ 9 ALCOHOL HOMOGENEOUS HEAD GROUP,2-[2-[2-[2-[2-[2-[2-[2-(2-decoxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol,CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,554.8,LLM initial name and weight
110,450.7,DODECYL /OXYETHYLENE/ 6 ALCOHOL HOMOGENEOUS HEAD GROUP,2-[2-[2-[2-[2-(2-dodecoxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethanol,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,450.6,LLM initial name and weight
111,272.3,LITHIUM DODECYL 1 SULFATE,lithium;dodecyl sulfate,[Li+].CCCCCCCCCCCCOS(=O)(=O)[O-],272.4,LLM initial name and weight
115,494.7,DODECYL /OXYETHYLENE/7 ALCOHOL REDUCED POLYDISPERSION OF HEAD GROUPS,2-[2-[2-[2-[2-[2-(2-dodecoxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,494.7,LLM initial name and weight
116,1508.1,DODECYL /OXYETHYLENE/30 ALCOHOL REDUCED REDUCED POLYDISPERSION OF HEAD GROUPS,N/A,N/A,0,Unknown
117,1564.2,HEXADECYL /OXYETHYLENE/30 ALCOHOL REDUCED POLYDISPERSION OF HEAD GROUPS,N/A,N/A,0,Unknown
119,243.4,DECYL N BETAINE,N-(2-hydroxyethyl)dodecanamide,CCCCCCCCCCCC(=O)NCCO,243.39,Found by mass lookup
120,257.4,UNDECYL N BETAINE,3-(dodecylamino)propanoic acid,CCCCCCCCCCCCNCCC(=O)O,257.41,Found by mass lookup
121,271.4,DODECYL N BETAINE,2-[dodecyl(dimethyl)azaniumyl]acetate,CCCCCCCCCCCC[N+](C)(C)CC(=O)[O-],271.44,Found by mass lookup
122,299.5,TETRADECYL N BETAINE,N-(2-hydroxyethyl)hexadecanamide,CCCCCCCCCCCCCCCC(=O)NCCO,299.5,Found by mass lookup
123,327.6,HEXADECYL N BETAINE,N-(2-hydroxyethyl)octadecanamide,CCCCCCCCCCCCCCCCCC(=O)NCCO,327.5,Found by mass lookup
124,307.9,DODECYL N BETAINE HYDROCHLORIDE,1-(5-methyl-2-propan-2-ylcyclohexyl)oxy-3-(propan-2-ylamino)propan-2-ol;hydrochloride,CC1CCC(C(C1)OCC(CNC(C)C)O)C(C)C.Cl,307.9,Found by mass lookup
125,336,TETRADECYL N BETAINE HYDROCHLORIDE,2-(diethylamino)ethyl dodecanoate;hydrochloride,CCCCCCCCCCCC(=O)OCCN(CC)CC.Cl,336,Found by mass lookup
126,355.3,DODECYL TRIMETHYLAMMONIUM IODIDE,dodecyl(trimethyl)azanium;iodide,CCCCCCCCCCCC[N+](C)(C)C.[I-],355.34,LLM initial name and weight
127,403.3,DODECYL TRIMETHYL AMMONIUM IODATE,dodecyl(trimethyl)azanium;iodate,CCCCCCCCCCCC[N+](C)(C)C.[O-]I(=O)=O,403.34,LLM initial name and weight
128,273.5,DODECYL TRIMETHYL AMMONIUM FORMATE,2-[dodecyl(2-hydroxyethyl)amino]ethanol,CCCCCCCCCCCCN(CCO)CCO,273.45,LLM initial name and weight
129,356.4,DODECYL TRIMETHYL AMMONIUM BROMATE,hexyl-[2-[2-(2-methoxyethoxy)ethoxy]ethyl]-dimethylazanium;bromide,CCCCCC[N+](C)(C)CCOCCOCCOC.[Br-],356.34,LLM initial name and weight
130,247.4,DODECYL TRIMETHYL AMMONIUM FLUORIDE,dodecyl(trimethyl)azanium;fluoride,CCCCCCCCCCCC[N+](C)(C)C.[F-],247.44,LLM initial name and weight
131,290.5,DODECYL TRIMETHYLAMMONIUM NITRATE,2-[2-(dimethylamino)ethyl-methylamino]ethanol;2-ethylhexanoic acid,CCCCC(CC)C(=O)O.CN(C)CCN(C)CCO,290.44,LLM initial name and weight
132,229,OCTYL C BETAINE,N/A,N/A,0,Unknown
133,257.4,DECYL C BETAINE,3-(dodecylamino)propanoic acid,CCCCCCCCCCCCNCCC(=O)O,257.41,LLM initial name and weight
134,285.5,DODECYL C BETAINE,3-(tetradecylamino)propanoic acid,CCCCCCCCCCCCCCNCCC(=O)O,285.5,LLM initial name and weight
135,265.8,OCTYL C BETAINE HYDROCHLORIDE,4-carboxybutyl-ethyl-di(propan-2-yl)azanium;chloride,CC[N+](CCCCC(=O)O)(C(C)C)C(C)C.[Cl-],265.82,LLM initial name and weight
136,237.3,SODIUM ALPHA DIMETHYL AMINO CAPRATE,sodium;2-aminododecanoate,CCCCCCCCCCC(C(=O)[O-])N.[Na+],237.31,LLM initial name and weight
137,251.8,ALPHA DIMETHYLAMINO CAPRIC ACID HYDROCHLORIDE,octyl (2S)-2-aminobutanoate;hydrochloride,CCCCCCCCOC(=O)C(CC)N.Cl,251.79,LLM initial name and weight
138,306.3,SODIUM NONYL BENZENE SULFONATE BRANCHED HYDROCARBON CHAIN,sodium;2-nonylbenzenesulfonate,CCCCCCCCCC1=CC=CC=C1S(=O)(=O)[O-].[Na+],306.4,LLM initial name and weight
139,348.4,SODIUM DODECYL BENZENE SULFONATE BRANCHED HYDROCARBON CHAIN,sodium;4-dodecan-2-ylbenzenesulfonate,CCCCCCCCCCC(C)C1=CC=C(C=C1)S(=O)(=O)[O-].[Na+],348.5,LLM initial name and weight
